csv_date,hour,sky_condition
01/19/2013,23,4
01/20/2013,00,4
01/20/2013,01,4
01/20/2013,02,4
01/20/2013,03,4
01/20/2013,04,4
01/20/2013,05,4
01/20/2013,06,4
01/20/2013,07,4
01/20/2013,08,4
01/20/2013,09,4
01/20/2013,10,4
01/20/2013,11,1
01/20/2013,12,2
01/20/2013,13,2
01/20/2013,14,2
01/20/2013,15,2
01/20/2013,16,2
01/20/2013,17,2
01/20/2013,18,2
01/20/2013,19,0
01/20/2013,20,0
01/20/2013,21,0
01/20/2013,22,0
01/20/2013,23,0
01/21/2013,00,0
01/21/2013,01,0
01/21/2013,02,0
01/21/2013,03,0
01/21/2013,04,0
01/21/2013,05,0
01/21/2013,06,0
01/21/2013,07,0
01/21/2013,08,0
01/21/2013,09,0
01/21/2013,10,0
01/21/2013,11,0
01/21/2013,12,0
01/21/2013,13,0
01/21/2013,14,2
01/21/2013,15,2
01/21/2013,16,2
01/21/2013,17,2
01/21/2013,18,2
01/21/2013,19,2
01/21/2013,20,2
01/21/2013,21,2
01/21/2013,22,2
01/21/2013,23,0
01/22/2013,00,0
01/22/2013,01,1
01/22/2013,02,3
01/22/2013,03,1
01/22/2013,04,1
01/22/2013,05,1
01/22/2013,06,1
01/22/2013,07,1
01/22/2013,08,1
01/22/2013,09,3
01/22/2013,10,3
01/22/2013,11,3
01/22/2013,12,3
01/22/2013,13,3
01/22/2013,14,3
01/22/2013,15,1
01/22/2013,16,3
01/22/2013,17,3
01/22/2013,18,1
01/22/2013,19,1
01/22/2013,20,3
01/22/2013,21,3
01/22/2013,22,3
01/22/2013,23,4
01/23/2013,00,4
01/23/2013,01,4
01/23/2013,02,4
01/23/2013,03,4
01/23/2013,04,4
01/23/2013,05,4
01/23/2013,06,4
01/23/2013,07,4
01/23/2013,08,4
01/23/2013,09,4
01/23/2013,10,4
01/23/2013,11,4
01/23/2013,12,4
01/23/2013,13,4
01/23/2013,14,4
01/23/2013,15,4
01/23/2013,16,4
01/23/2013,17,4
01/23/2013,18,4
01/23/2013,19,4
01/23/2013,20,4
01/23/2013,21,4
01/23/2013,22,4
01/23/2013,23,4
01/24/2013,00,4
01/24/2013,01,4
01/24/2013,02,4
01/24/2013,03,4
01/24/2013,04,4
01/24/2013,05,4
01/24/2013,06,4
01/24/2013,07,4
01/24/2013,08,4
01/24/2013,09,4
01/24/2013,10,3
01/24/2013,11,3
01/24/2013,12,4
01/24/2013,13,4
01/24/2013,14,4
01/24/2013,15,4
01/24/2013,16,4
01/24/2013,17,4
01/24/2013,18,4
01/24/2013,19,4
01/24/2013,20,4
01/24/2013,21,4
01/24/2013,22,4
01/24/2013,23,4
01/25/2013,00,4
01/25/2013,01,4
01/25/2013,02,4
01/25/2013,03,4
01/25/2013,04,4
01/25/2013,05,4
01/25/2013,06,4
01/25/2013,07,4
01/25/2013,08,4
01/25/2013,09,4
01/25/2013,10,4
01/25/2013,11,4
01/25/2013,12,4
01/25/2013,13,4
01/25/2013,14,3
01/25/2013,15,1
01/25/2013,16,3
01/25/2013,17,3
01/25/2013,18,1
01/25/2013,19,4
01/25/2013,20,4
01/25/2013,21,4
01/25/2013,22,4
01/25/2013,23,4
01/26/2013,00,4
01/26/2013,01,3
01/26/2013,02,4
01/26/2013,03,4
01/26/2013,04,3
01/26/2013,05,3
01/26/2013,06,3
01/26/2013,07,3
01/26/2013,08,4
01/26/2013,09,4
01/26/2013,10,4
01/26/2013,11,4
01/26/2013,12,4
01/26/2013,13,3
01/26/2013,14,3
01/26/2013,15,3
01/26/2013,16,3
01/26/2013,17,3
01/26/2013,18,3
01/26/2013,19,3
01/26/2013,20,4
01/26/2013,21,4
01/26/2013,22,4
01/26/2013,23,4
01/27/2013,00,4
01/27/2013,01,4
01/27/2013,02,4
01/27/2013,03,3
01/27/2013,04,3
01/27/2013,05,4
01/27/2013,06,3
01/27/2013,07,4
01/27/2013,08,4
01/27/2013,09,4
01/27/2013,10,4
01/27/2013,11,4
01/27/2013,12,4
01/27/2013,13,4
01/27/2013,14,4
01/27/2013,15,4
01/27/2013,16,4
01/27/2013,17,4
01/27/2013,18,4
01/27/2013,19,4
01/27/2013,20,4
01/27/2013,21,4
01/27/2013,22,4
01/27/2013,23,4
01/28/2013,00,4
01/28/2013,01,4
01/28/2013,02,4
01/28/2013,03,4
01/28/2013,04,4
01/28/2013,05,4
01/28/2013,06,4
01/28/2013,07,4
01/28/2013,08,4
01/28/2013,09,4
01/28/2013,10,4
01/28/2013,11,4
01/28/2013,12,4
01/28/2013,13,4
01/28/2013,14,4
01/28/2013,15,4
01/28/2013,16,4
01/28/2013,17,4
01/28/2013,18,4
01/28/2013,19,4
01/28/2013,20,4
01/28/2013,21,4
01/28/2013,22,4
01/28/2013,23,4
01/29/2013,00,4
01/29/2013,01,4
01/29/2013,02,4
01/29/2013,03,4
01/29/2013,04,4
01/29/2013,05,4
